SI NO : 1, Name: BobSmith, Department: ComputerScience, Roll no: 2, Maths: 74, Physics: 81, Programming: 88, Average mark is :81
SI NO : 2, Name: CharlieBrown, Department: ComputerScience, Roll no: 3, Maths: 90, Physics: 85, Programming: 95, Average mark is :90
SI NO : 3, Name: GeorgeWilson, Department: ComputerScience, Roll no: 7, Maths: 88, Physics: 83, Programming: 91, Average mark is :87
SI NO : 4, Name: IanClark, Department: ComputerScience, Roll no: 9, Maths: 95, Physics: 92, Programming: 97, Average mark is :94
SI NO : 5, Name: QuinnBaker, Department: ComputerScience, Roll no: 17, Maths: 94, Physics: 90, Programming: 96, Average mark is :93
SI NO : 6, Name: SophiaTurner, Department: ComputerScience, Roll no: 19, Maths: 83, Physics: 80, Programming: 88, Average mark is :83
SI NO : 7, Name: ThomasEvans, Department: ComputerScience, Roll no: 20, Maths: 91, Physics: 87, Programming: 95, Average mark is :91
SI NO : 8, Name: BellaSimmons, Department: CivilEngineering, Roll no: 2, Maths: 85, Physics: 79, Programming: 83, Average mark is :82
SI NO : 9, Name: DianaPalmer, Department: CivilEngineering, Roll no: 4, Maths: 88, Physics: 81, Programming: 85, Average mark is :84
SI NO : 10, Name: ElliotBrooks, Department: CivilEngineering, Roll no: 5, Maths: 91, Physics: 85, Programming: 87, Average mark is :87
SI NO : 11, Name: KyleReed, Department: CivilEngineering, Roll no: 8, Maths: 82, Physics: 79, Programming: 84, Average mark is :81
SI NO : 12, Name: LiamBell, Department: CivilEngineering, Roll no: 9, Maths: 90, Physics: 86, Programming: 89, Average mark is :88
SI NO : 13, Name: NoahCox, Department: CivilEngineering, Roll no: 11, Maths: 86, Physics: 84, Programming: 85, Average mark is :85
SI NO : 14, Name: ParkerDiaz, Department: CivilEngineering, Roll no: 13, Maths: 83, Physics: 80, Programming: 84, Average mark is :82
SI NO : 15, Name: QuincyRoss, Department: CivilEngineering, Roll no: 14, Maths: 85, Physics: 82, Programming: 86, Average mark is :84
SI NO : 16, Name: SamuelButler, Department: CivilEngineering, Roll no: 16, Maths: 88, Physics: 85, Programming: 87, Average mark is :86
SI NO : 17, Name: AidenClark, Department: MechanicalEngineering, Roll no: 1, Maths: 82, Physics: 85, Programming: 80, Average mark is :82
SI NO : 18, Name: BrookeAdams, Department: MechanicalEngineering, Roll no: 2, Maths: 88, Physics: 84, Programming: 83, Average mark is :85
SI NO : 19, Name: CarterEvans, Department: MechanicalEngineering, Roll no: 3, Maths: 80, Physics: 81, Programming: 83, Average mark is :81
SI NO : 20, Name: DelilahMoore, Department: MechanicalEngineering, Roll no: 4, Maths: 90, Physics: 87, Programming: 85, Average mark is :87
SI NO : 21, Name: EthanTurner, Department: MechanicalEngineering, Roll no: 5, Maths: 85, Physics: 83, Programming: 82, Average mark is :83
SI NO : 22, Name: HarperAllen, Department: MechanicalEngineering, Roll no: 8, Maths: 87, Physics: 85, Programming: 86, Average mark is :86
SI NO : 23, Name: JasmineKing, Department: MechanicalEngineering, Roll no: 10, Maths: 91, Physics: 88, Programming: 89, Average mark is :89
SI NO : 24, Name: KadenScott, Department: MechanicalEngineering, Roll no: 11, Maths: 84, Physics: 82, Programming: 83, Average mark is :83
SI NO : 25, Name: SebastianCox, Department: MechanicalEngineering, Roll no: 13, Maths: 88, Physics: 86, Programming: 87, Average mark is :87
SI NO : 26, Name: UrielHayes, Department: MechanicalEngineering, Roll no: 15, Maths: 82, Physics: 81, Programming: 84, Average mark is :82
SI NO : 27, Name: WilliamMorgan, Department: MechanicalEngineering, Roll no: 17, Maths: 90, Physics: 87, Programming: 88, Average mark is :88
SI NO : 28, Name: XimenaBarnes, Department: MechanicalEngineering, Roll no: 18, Maths: 83, Physics: 82, Programming: 85, Average mark is :83
SI NO : 29, Name: ZoeyMatthews, Department: MechanicalEngineering, Roll no: 20, Maths: 91, Physics: 88, Programming: 89, Average mark is :89
SI NO : 30, Name: AmberWest, Department: MechanicalEngineering, Roll no: 21, Maths: 81, Physics: 79, Programming: 83, Average mark is :81
SI NO : 31, Name: BlakeLee, Department: MechanicalEngineering, Roll no: 22, Maths: 84, Physics: 81, Programming: 85, Average mark is :83
SI NO : 32, Name: DerekHarris, Department: MechanicalEngineering, Roll no: 24, Maths: 88, Physics: 86, Programming: 87, Average mark is :87
SI NO : 33, Name: ArianaBlake, Department: ElectricalEngineering, Roll no: 1, Maths: 84, Physics: 86, Programming: 82, Average mark is :84
SI NO : 34, Name: BenjaminCross, Department: ElectricalEngineering, Roll no: 2, Maths: 82, Physics: 80, Programming: 83, Average mark is :81
SI NO : 35, Name: LoganNelson, Department: ElectricalEngineering, Roll no: 3, Maths: 87, Physics: 85, Programming: 86, Average mark is :86
SI NO : 36, Name: MadelineOwens, Department: ElectricalEngineering, Roll no: 4, Maths: 80, Physics: 81, Programming: 82, Average mark is :81
SI NO : 37, Name: NathanielPrice, Department: ElectricalEngineering, Roll no: 5, Maths: 86, Physics: 84, Programming: 85, Average mark is :85
SI NO : 38, Name: PrestonReed, Department: ElectricalEngineering, Roll no: 7, Maths: 83, Physics: 80, Programming: 84, Average mark is :82
SI NO : 39, Name: ZacharyBennett, Department: ElectricalEngineering, Roll no: 9, Maths: 90, Physics: 86, Programming: 89, Average mark is :88
SI NO : 40, Name: AubreyCarter, Department: ElectricalEngineering, Roll no: 10, Maths: 81, Physics: 79, Programming: 83, Average mark is :81
