SI NO : 1, Name: AidenClark, Department: MechanicalEngineering, Roll no: 1, Maths: 82, Physics: 85, Programming: 80
SI NO : 2, Name: BrookeAdams, Department: MechanicalEngineering, Roll no: 2, Maths: 88, Physics: 84, Programming: 83
SI NO : 3, Name: CarterEvans, Department: MechanicalEngineering, Roll no: 3, Maths: 80, Physics: 81, Programming: 83
SI NO : 4, Name: DelilahMoore, Department: MechanicalEngineering, Roll no: 4, Maths: 90, Physics: 87, Programming: 85
SI NO : 5, Name: EthanTurner, Department: MechanicalEngineering, Roll no: 5, Maths: 85, Physics: 83, Programming: 82
SI NO : 6, Name: FionaMitchell, Department: MechanicalEngineering, Roll no: 6, Maths: 78, Physics: 76, Programming: 80
SI NO : 7, Name: GraysonHall, Department: MechanicalEngineering, Roll no: 7, Maths: 81, Physics: 80, Programming: 79
SI NO : 8, Name: HarperAllen, Department: MechanicalEngineering, Roll no: 8, Maths: 87, Physics: 85, Programming: 86
SI NO : 9, Name: IanWright, Department: MechanicalEngineering, Roll no: 9, Maths: 79, Physics: 78, Programming: 81
SI NO : 10, Name: JasmineKing, Department: MechanicalEngineering, Roll no: 10, Maths: 91, Physics: 88, Programming: 89
SI NO : 11, Name: KadenScott, Department: MechanicalEngineering, Roll no: 11, Maths: 84, Physics: 82, Programming: 83
SI NO : 12, Name: RileyBrooks, Department: MechanicalEngineering, Roll no: 12, Maths: 77, Physics: 75, Programming: 79
SI NO : 13, Name: SebastianCox, Department: MechanicalEngineering, Roll no: 13, Maths: 88, Physics: 86, Programming: 87
SI NO : 14, Name: TaylorDiaz, Department: MechanicalEngineering, Roll no: 14, Maths: 80, Physics: 78, Programming: 82
SI NO : 15, Name: UrielHayes, Department: MechanicalEngineering, Roll no: 15, Maths: 82, Physics: 81, Programming: 84
SI NO : 16, Name: ValerieJames, Department: MechanicalEngineering, Roll no: 16, Maths: 78, Physics: 76, Programming: 79
SI NO : 17, Name: WilliamMorgan, Department: MechanicalEngineering, Roll no: 17, Maths: 90, Physics: 87, Programming: 88
SI NO : 18, Name: XimenaBarnes, Department: MechanicalEngineering, Roll no: 18, Maths: 83, Physics: 82, Programming: 85
SI NO : 19, Name: YusufFisher, Department: MechanicalEngineering, Roll no: 19, Maths: 79, Physics: 77, Programming: 80
SI NO : 20, Name: ZoeyMatthews, Department: MechanicalEngineering, Roll no: 20, Maths: 91, Physics: 88, Programming: 89
SI NO : 21, Name: AmberWest, Department: MechanicalEngineering, Roll no: 21, Maths: 81, Physics: 79, Programming: 83
SI NO : 22, Name: BlakeLee, Department: MechanicalEngineering, Roll no: 22, Maths: 84, Physics: 81, Programming: 85
SI NO : 23, Name: CamilaScott, Department: MechanicalEngineering, Roll no: 23, Maths: 79, Physics: 78, Programming: 81
SI NO : 24, Name: DerekHarris, Department: MechanicalEngineering, Roll no: 24, Maths: 88, Physics: 86, Programming: 87
